C
C     One-electron Compton profiles and ionization energies for
C  the elements Z=1-92.
C
C |--- Atomic number, Z.
C | |--- Shell (nlj). j is indicated with a plus sign if j=l+1/2,
C | |    and with a minus sign if j=l-1/2.
C | |   |--- Shell occupation number, Zi.
C | |   | |--- One-electron Compton profile at p=0, in atomic
C | |   | |    units. Taken from F. Biggs, L. B. Mendelsohn and
C | |   | |    J. B. Mann, At. Data and Nucl. Data Tables 16
C | |   | |    (1975) 201.
C | |   | |            |--- Ionization energy (eV).
C | |   | |            |
 53 4d- 4 1.59E-1 000050
 53 4d+ 6 1.61E-1 000050
 53 5s+ 2 8.53E-1 000014
 53 5p- 2 6.08E-1 000010
 53 5p+ 3 6.37E-1 000010
 54 1s+ 2 1.49E-2 034566
 54 2s+ 2 5.35E-2 005453
 54 2p- 2 2.65E-2 005107
 54 2p+ 4 2.79E-2 004787
 54 3s+ 2 1.23E-1 001149
 54 3p- 2 7.29E-2 001002
 54 3p+ 4 7.54E-2 000941
 54 3d- 4 5.01E-2 000689
 54 3d+ 6 5.07E-2 000677
 54 4s+ 2 2.74E-1 000213
 54 4p- 2 1.76E-1 000146
 54 4p+ 4 1.82E-1 000146
 54 4d- 4 1.51E-1 000069
 54 4d+ 6 1.53E-1 000068
 54 5s+ 2 7.97E-1 000023
 54 5p- 2 5.62E-1 000013
 54 5p+ 4 5.92E-1 000012
 55 1s+ 2 1.46E-2 035985
 55 2s+ 2 5.23E-2 005713
 55 2p- 2 2.59E-2 005360
 55 2p+ 4 2.73E-2 005012
 55 3s+ 2 1.20E-1 001217
 55 3p- 2 7.10E-2 001065
 55 3p+ 4 7.35E-2 000998
 55 3d- 4 4.88E-2 000740
 55 3d+ 6 4.94E-2 000724
 55 4s+ 2 2.64E-1 000231
 55 4p- 2 1.70E-1 000162
 55 4p+ 4 1.76E-1 000162
 55 4d- 4 1.44E-1 000077
 55 4d+ 6 1.45E-1 000075
 55 5s+ 2 7.20E-1 000023
 55 5p- 2 4.98E-1 000013
 55 5p+ 4 5.22E-1 000011
 55 4f- 1 2.74E+0 000004
 56 1s+ 2 1.43E-2 037441
 56 2s+ 2 5.12E-2 005987
 56 2p- 2 2.54E-2 005624
 56 2p+ 4 2.68E-2 005247
 56 3s+ 2 1.17E-1 001293
 56 3p- 2 6.92E-2 001137
 56 3p+ 4 7.18E-2 001063
 56 3d- 4 4.75E-2 000796
 56 3d+ 6 4.81E-2 000781
 56 4s+ 2 2.55E-1 000253
 56 4p- 2 1.63E-1 000180
 56 4p+ 4 1.69E-1 000180
 56 4d- 4 1.37E-1 000093
 56 4d+ 6 1.39E-1 000090
 56 5s+ 2 6.57E-1 000040
 56 5p- 2 4.52E-1 000017
 56 5p+ 4 4.73E-1 000015
 56 4f- 2 2.23E+0 000005
 57 1s+ 2 1.40E-2 038925
 57 2s+ 2 5.01E-2 006267
 57 2p- 2 2.48E-2 005891
 57 2p+ 4 2.63E-2 005483
 57 3s+ 2 1.14E-1 001362
 57 3p- 2 6.75E-2 001205
 57 3p+ 4 7.01E-2 001124
 57 3d- 4 4.63E-2 000852
 57 3d+ 6 4.69E-2 000835
 57 4s+ 2 2.46E-1 000271
 57 4p- 2 1.58E-1 000196
 57 4p+ 4 1.63E-1 000196
 57 4d- 4 1.31E-1 000103
 57 4d+ 6 1.33E-1 000103
 57 5s+ 2 6.16E-1 000036
 57 5p- 2 4.24E-1 000018
 57 5p+ 4 4.40E-1 000018
 57 4f- 3 1.55E+0 000006
 58 1s+ 2 1.37E-2 040444
 58 2s+ 2 4.90E-2 006549
 58 2p- 2 2.43E-2 006165
 58 2p+ 4 2.57E-2 005724
 58 3s+ 2 1.11E-1 001435
 58 3p- 2 6.58E-2 001273
 58 3p+ 4 6.84E-2 001186
 58 3d- 4 4.52E-2 000901
 58 3d+ 6 4.58E-2 000883
 58 4s+ 2 2.39E-1 000289
 58 4p- 2 1.53E-1 000207
 58 4p+ 4 1.59E-1 000207
 58 4d- 4 1.27E-1 000112
 58 4d+ 6 1.29E-1 000108
 58 5s+ 2 6.02E-1 000038
 58 5p- 2 4.14E-1 000018
 58 5p+ 4 4.31E-1 000018
 58 4f- 4 1.19E+0 000005
 59 1s+ 2 1.35E-2 041991
 59 2s+ 2 4.80E-2 006835
 59 2p- 2 2.38E-2 006441
 59 2p+ 4 2.52E-2 005965
 59 3s+ 2 1.09E-1 001511
 59 3p- 2 6.43E-2 001338
 59 3p+ 4 6.69E-2 001243
 59 3d- 4 4.41E-2 000951
 59 3d+ 6 4.47E-2 000931
 59 4s+ 2 2.34E-1 000304
 59 4p- 2 1.50E-1 000218
 59 4p+ 4 1.56E-1 000218
 59 4d- 4 1.25E-1 000118
 59 4d+ 6 1.26E-1 000115
 59 5s+ 2 6.09E-1 000038
 59 5p- 2 4.17E-1 000023
 59 5p+ 4 4.42E-1 000023
 59 4f- 5 9.49E-1 000005
 60 1s+ 2 1.32E-2 043569
 60 2s+ 2 4.70E-2 007126
 60 2p- 2 2.33E-2 006722
 60 2p+ 4 2.48E-2 006208
 60 3s+ 2 1.06E-1 001576
